86,"SIMCOE NORTH","SIMCOE-NORD"
87,"STORMONT--DUNDAS--SOUTH GLENGARRY","STORMONT--DUNDAS--SOUTH GLENGARRY"
88,"SUDBURY","SUDBURY"
89,"THORNHILL","THORNHILL"
90,"THUNDER BAY--ATIKOKAN","THUNDER BAY--ATIKOKAN"
91,"THUNDER BAY--SUPERIOR NORTH","THUNDER BAY - SUPERIOR-NORD"
92,"TIMISKAMING--COCHRANE","TIMISKAMING--COCHRANE"
93,"TIMMINS--JAMES BAY","TIMMINS - BAIE JAMES"
94,"TORONTO CENTRE","TORONTO-CENTRE"
95,"TORONTO--DANFORTH","TORONTO--DANFORTH"
96,"TRINITY--SPADINA","TRINITY--SPADINA"
97,"VAUGHAN","VAUGHAN"
98,"WELLAND","WELLAND"
99,"WELLINGTON--HALTON HILLS","WELLINGTON--HALTON HILLS"
100,"WHITBY--OSHAWA","WHITBY--OSHAWA"
101,"WILLOWDALE","WILLOWDALE"
102,"WINDSOR--TECUMSEH","WINDSOR--TECUMSEH"
103,"WINDSOR WEST","WINDSOR-OUEST"
104,"YORK CENTRE","YORK-CENTRE"
105,"YORK--SIMCOE","YORK--SIMCOE"
106,"YORK SOUTH--WESTON","YORK-SUD - WESTON"
107,"YORK WEST","YORK-OUEST"
